MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
102030,Kakum RB,Kakum RB,Ghana,Africa,Rural Bank,Profit
169605,Kalach Fund,Kalach Fund,Russia,Eastern Europe and Central Asia,NBFI,Profit
152507,Kalyan Nari,Kalyan Nari Bikash Multipurpose Cooperative Society Ltd,Nepal,South Asia,Credit Union / Cooperative,Profit
150979,Kamkor,MCO Kamkor,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
100329,KAMURJ,KAMURJ UCO CJSC,Armenia,Eastern Europe and Central Asia,NGO,Non-profit
100604,Kapital Plus,Kapital Plus,Uzbekistan,Eastern Europe and Central Asia,NBFI,Profit
102503,Karis MFB,Karis Microfinance Bank Limited,Nigeria,Africa,NBFI,Profit
100781,Kasagana-Ka,"Kasagana-Ka Development Center, Inc.",Philippines,East Asia and the Pacific,NGO,Non-profit
100305,Kashf Foundation,Kashf Foundation,Pakistan,South Asia,NGO,Non-profit
104339,Kassa Vzaimopomoshi,CCCC 'Kassa Vzaimopomoshi',Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
100327,Katysu,MFI Katysu,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
101110,Kazama Grameen,"Kazama Grameen, Inc.",Philippines,East Asia and the Pacific,NGO,Non-profit
150326,Kazmikrokredit,Kazmikrokredit,Kazakhstan,Eastern Europe and Central Asia,Other,Profit
115599,Kazoza Finance,Kazoza Finance,Burundi,Africa,Other,Unknown
102179,KBank,Kauswagan Bank,Philippines,East Asia and the Pacific,Bank,Profit
100467,KC,Kapalong Cooperative,Philippines,East Asia and the Pacific,Credit Union / Cooperative,Non-profit
170749,KCB Uganda,KCB BANK UGANDA LIMITED,Uganda,Africa,Unknown,Unknown
101523,KCCDFI,"Kasanyangan-Mindanao Foundation, Inc.",Philippines,East Asia and the Pacific,NGO,Non-profit
114044,KCIPL,Kaveri Credits (India) Pvt. Ltd.,India,South Asia,NBFI,Profit
102178,KEEF,Kenya Entrepreneurship Empowerment Foundation,Kenya,Africa,NGO,Non-profit
133856,Keffi MFB,Keffi Microfinance Bank Limited,Nigeria,Africa,Bank,Profit
104524,Kemskiy,CCCC Kemskiy,Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
100523,KEP,KEP Trust,Kosovo,Eastern Europe and Central Asia,NBFI,Non-profit
149957,Kerabari SACCOS,Kerabari Nari Bikash Saccos,Nepal,South Asia,Credit Union / Cooperative,Profit
133858,Kernel MFB,Kernel Microfinance Bank Limited,Nigeria,Africa,Bank,Profit
150387,Keshiketeng RCU,Keshiketeng Rural Cooperative Union,"China, People's Republic of",East Asia and the Pacific,Bank,Unknown
100580,KFOND,Public Fund 'Kazakhstan Fund to Support Entrepreneurs',Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
150406,KG Money,KG Money,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
101219,KGMAMF,Kosovo Grameen Missione Arcobaleno,Kosovo,Eastern Europe and Central Asia,NGO,Non-profit
100615,Khan Bank,Khan Bank LLC,Mongolia,Eastern Europe and Central Asia,Bank,Profit
178306,Khmer MFI,Khmer Capital MFI,Cambodia,East Asia and the Pacific,Unknown,Unknown
175250,Khob-Sienghon,Khob-Sienghon NDTMFI,Laos,East Asia and the Pacific,NBFI,Non-profit
147111,Khomvangmai NDTMFI,Khomvangmai NDTMFI,Laos,East Asia and the Pacific,NBFI,Profit
101787,Khosen,Khosen Credit Union,Ukraine,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
100391,Khushhali Bank,Khushhali Bank,Pakistan,South Asia,Bank,Profit
102102,KIEDF,Koret Israel Economic Development Funds,Israel,Middle East and North Africa,NGO,Non-profit
102422,KIF,"Kaebauk Investimentu no Finansas, SA (ODTI of Tuba Rai Metin)",East Timor,East Asia and the Pacific,NGO,Non-profit
169691,Kigarama Peoples SACCO,,Uganda,Africa,Credit Union / Cooperative,Unknown
169690,KIJURA SACCO,,Uganda,Africa,Credit Union / Cooperative,Unknown
104467,Kikvidzenskiy,Agricultural Credit Cooperative Kikvidzenskiy,Russia,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
